区域,城市,年份,文件类型,支出类别,匹配关键词,原文片段,金额（万元）,页码,文件名
东部,上海,2021,财政决算报告,human,教育,从支出决算具体情况看，市级支出2843.3亿元，完成调整预算的104.2%。其中：教育支出296.5亿元，完成调整预算的101.4%；科学技术支出225亿元，完成预算的95.9%；社会保障和就业支出430亿元，完成预算的99.6%；卫生健康支出283.5亿元，完成调整预算的106%；公共安全支出194.7亿元，完成预算的110.3%；农林水支出91.3亿元，完成调整预算的120.4%；城乡社区支出303.5亿元，完成调整预算的98.7%；交通运输支出298.3亿元，完成调整预算的141.5%。,28433000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,2021年，市对区一般公共预算转移支付1003.5亿元，完成预算的97.6%，其中，一般性转移支付665.3亿元，专项转移支付338.2亿元。与2022年1月向市十五届人大六次会议报告的执行数一致。,10035000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,医院,2021年，按预算法规定安排的市级预备费70亿元，主要用于预算执行中增加安排新冠疫苗接种经费、疫情防控经费、市级公立医院开办及设备购置经费、公共污水处理系统运营经费、道路合杆整治经费等支出。,700000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,2021年，市级使用以前年度结转资金安排的支出44亿元。其中，市级使用32.5亿元，市对区税收返还和转移支付使用11.5亿元。市级周转金规模没有发生变化，年末余额为56.5亿元，主要用于调剂预算年度内季节性收支差额。,440000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,2021年，市级“三公”经费财政拨款支出合计3.35亿元，比预算数减少4.05亿元，主要是各部门严格落实党政机关带头过紧日子要求，从严控制和压缩“三公”经费支出，以及受新冠肺炎疫情影响减少“三公”支出。其中：因公出国（境）费0.01亿元，减少1.96亿元；公务用车购置及运行费2.94亿元（其中，购置费1.16亿元、运行费1.78亿元），减少1.36亿元；公务接待费0.4亿元，减少0.73亿元。上述行政事业单位结余的财政资金，全部用于补充市级预算稳定调节基金。,33500.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,交通,2021年，经国务院批准，财政部核定本市政府债务限额为10603.1亿元。截至2021年底，本市政府债务余额为7356.8亿元，债务规模适度，风险总体可控。发行地方政府债券1211.1亿元，包括新增一般债券242亿元、新增专项债券625亿元、再融资债券344.1亿元。主要用于轨道交通等重大公共基础设施建设、旧区改造等公益性项目。在上述新增债券中，市级使用574.9亿元，其中：新增专项债券394.7亿元，用于轨道交通建设、旧区改造、机场联络线、沪苏湖铁路、污水处理等项目。总体来看，通过地方政府债券,5749000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,创业,推进“三大任务”“三大平台”建设。安排落实专项资金和政府债券资金等130.2亿元，支持临港新片区建设，持续推进“两个15%”所得税优惠政策在新片区有效落地。安排落实天使投资引导基金、创业投资引导基金共10亿元，实施培育科技小巨人企业等扶持政策，落实科技型中小企业研发费用加计扣除、高新技术企业所得税优惠政策等制度性税收优惠，支持拓展科创板上市储备企业清单。支出6亿元，支持长三角区域“水乡客厅”重大项目开工建设等。制定长三角一体化示范区先行启动区专项资金管理办法，规范资金使用和管理。保障第四届中国国,1302000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,加快推进科技创新。支出76.2亿元，支持在沪国家实验室和长三角国家技术创新中心等建设，强化国家战略科技力量，推动国家重大科技项目落户上海，试点基础研究领域项目经费包干制，推进基础研究高质量发展。,762000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,支持产业能级提升。安排落实专项资金75.5亿元，聚焦支持“五型经济”发展。支出97.9亿元，推进集成电路、生物医药、人工智能“三大先导产业”加快发展，支持关键核心技术攻关，落实软件、集成电路企业专项税收优惠等政策，着力打造战略性未来产业。,755000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,交通,促进扩大内需。安排落实549.2亿元，支持轨道交通等交通基础设施建设、社会民生等领域重大项目。发挥专项资金和政府投资基金的示范引导作用，带动社会资本加大投入。支持高质量办好“五五购物节”等重大促消费活动，推动加快建设国际消费中心城市。,5492000.0,,上海市2025年预算.txt
