区域,城市,年份,文件类型,支出类别,匹配关键词,原文片段,金额（万元）,页码,文件名
东部,上海,2021,财政决算报告,human,医院,2021年，按预算法规定安排的市级预备费70亿元，主要用于预算执行中增加安排新冠疫苗接种经费、疫情防控经费、市级公立医院开办及设备购置经费、公共污水处理系统运营经费、道路合杆整治经费等支出,700000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,physical,建设,支出6亿元，支持长三角区域“水乡客厅”重大项目开工建设等,60000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,physical,建设,安排落实5.3亿元，推进虹桥国际开放枢纽建设,53000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,创新,支出76.2亿元，支持在沪国家实验室和长三角国家技术创新中心等建设，强化国家战略科技力量，推动国家重大科技项目落户上海，试点基础研究领域项目经费包干制，推进基础研究高质量发展,762000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,physical,基础设施建设,安排落实549.2亿元，支持轨道交通等交通基础设施建设、社会民生等领域重大项目,5492000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,培训,支出65亿元，完善多渠道灵活就业政策，促进高校毕业生等重点群体就业创业，支持做好失业人员再就业工作，实施职业技能提升、线上培训和以工代训补贴等政策，推动实现更高质量的充分就业,650000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,教育,支出296.5亿元，推进地方高水平大学和新一轮“双一流”建设等，支持高校服务国家和区域重大科技创新战略，推进优化高等教育和职业教育资源布局，支持实施上海高等教育人才揽蓄行动,2965000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,保险,支出118.8亿元，深化长期护理保险制度试点,1188000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,创新,支出117亿元，支持推进健康上海行动，支持公立医院基本建设和大型医疗设备购置，推进实施市级医院临床技能与临床创新三年行动计划,1170000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,保障,安排落实523.2亿元，推进中心城区成片二级旧里以下房屋改造、旧住房综合改造、城中村改造和保障性住房建设，支持架空线入地和杆箱整治、既有多层住宅加装电梯、人行天桥加装无障碍电梯以及“美丽街区”提升改造等,5232000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,补贴,支出71亿元，健全以绿色生态为导向的农业补贴政策体系，支持都市现代农业发展，推进开展农村综合帮扶，保障美丽乡村建设，支持建成46个市级美丽乡村示范村、32个市级乡村振兴示范村，推动1.4万户农民相对集中居住,710000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,东西部协作,支出78亿元，做好东西部协作和对口支援，支持对口地区实现巩固拓展脱贫攻坚成果同乡村振兴有效衔接,780000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,文化,围绕全面提升城市软实力，支出90亿元，保障中共一大纪念馆等红色文化传承地建设和公共文化设施建设，加快推进文化创意产业发展，支持办好重大文旅节庆活动，促进竞技体育发展，引领带动全民健身,900000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,服务,支出31.3亿元，围绕推进治理数字化转型，重点支持政务服务“一网通办”和城市运行“一网统管”体系建设,313000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,physical,建设,支出137.7亿元，支持“一江一河”城市治理，推进河道整治、农村生活污水治理等，支持完成崇明世界级生态岛建设第四轮三年行动计划，支持长江流域重点水域禁捕退捕,1377000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,公共安全,支出77.9亿元，保障公共安全、社会治安、网络安全、应急管理、消防安全、防汛防台、食品安全等领域资金需求，支持加强对各类安全风险隐患的排查化解，保障城市安全运行和社会大局稳定,779000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,疫情防控,1-6月，市级安排落实64.7亿元，用于疫情防控工作,647000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,human,疫情防控,安排落实市对区补助资金40亿元，支持各区统筹用于集中隔离房源征用和运行保障、居民核酸检测、生活物资保供等疫情防控相关支出,400000.0,,上海市2021年市级决算.txt
东部,上海,2021,财政决算报告,physical,改造,统筹平衡资金884亿元，支持完成中心城区成片二级旧里以下房屋改造目标任务,8840000.0,,上海市2021年市级决算.txt
东部,上海,2022,财政决算报告,human,医疗,2022年，按预算法规定安排的市级预备费70亿元，主要用于预算执行中增加安排市级新冠定点医疗机构开办运营、服务保障外省市援沪医疗队、提升核酸检测能力、发放电子消费券等疫情防控和复工复产相关支出,700000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,保障,聚焦保障临港新片区发展，市区两级统筹投入117.8亿元，加快推动临港新片区基础设施和公共设施建设，持续推进新片区内重点产业企业所得税优惠政策精准实施，促进重点产业加速集聚,1178000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,保障,聚焦保障长三角生态绿色一体化发展示范区建设，落实专项资金11.8亿元，扎实推进长三角一体化高质量发展,118000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,活动,市级投入11.5亿元，支持发放“爱购上海”电子消费券、举办“五五购物节”等重大促消费活动，释放消费潜力,115000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,高校,统筹帮扶重点群体就业，投入1亿元，对招录登记失业三个月以上人员或本市高校应届毕业生的企业，给予一次性吸纳就业补贴,10000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,补助,投入1.8亿元，实施国家一次性扩岗补助政策,18000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,就业,投入3亿元，实施困难行业企业稳就业补贴，帮助企业稳定岗位、不裁员少裁员,30000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,培训,投入1.7亿元，加大线上职业培训补贴力度,17000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,绿色家电,投入1.2亿元，促进新能源汽车消费和绿色家电消费,12000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,physical,改造,投入160.5亿元，完成全市20.3万平方米二级以下旧里改造，全面完成中心城区成片旧改任务,1605000.0,,上海市2022年市级决算.txt
